################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
成功率：100.0%, 提交量大于阈值的概率：0.04782%, 超供率：99.3%, 超供程度：82.0%, 超供平均值：5.5, 方差：116.3
0  1.29e+07 4182.53 | 4182.53    0.0   2887     0 |    1.45   1.27   0.07  -1.17
0  1.30e+07 4182.53 | 4179.82    0.0   2887     0 |    1.45   0.90  -0.01  -1.16
0  1.30e+07 4189.32 |
成功率：100.0%, 提交量大于阈值的概率：0.04782%, 超供率：99.8%, 超供程度：82.1%, 超供平均值：5.4, 方差：115.0
0  1.30e+07 4189.32 | 4189.32    0.0   2887     0 |    1.44   1.19   0.01  -1.16
0  1.31e+07 4189.32 | 4113.70    0.0   2887     0 |    1.44   1.09  -0.00  -1.16
0  1.32e+07 4189.32 | 4114.88    0.0   2887     0 |    1.45   1.05  -0.01  -1.15
0  1.32e+07 4189.32 | 4117.08    0.0   2887     0 |    1.45   1.28   0.06  -1.17
0  1.33e+07 4194.94 |
成功率：100.0%, 提交量大于阈值的概率：0.03490%, 超供率：99.6%, 超供程度：82.3%, 超供平均值：5.5, 方差：112.6
0  1.33e+07 4194.94 | 4194.94    0.0   2887     0 |    1.43   1.25  -0.03  -1.17
0  1.34e+07 4194.94 | 4190.91    0.0   2887     0 |    1.45   1.18   0.07  -1.16
0  1.35e+07 4194.94 | 4186.26    0.0   2887     0 |    1.45   1.26  -0.01  -1.16
0  1.35e+07 4194.94 | 4182.31    0.0   2887     0 |    1.45   1.19   0.13  -1.16
0  1.36e+07 4194.94 | 4185.61    0.0   2887     0 |    1.45   1.22  -0.07  -1.16
0  1.37e+07 4194.94 | 4185.85    0.0   2887     0 |    1.45   1.21   0.02  -1.16
0  1.38e+07 4265.71 |
成功率：100.0%, 提交量大于阈值的概率：0.04395%, 超供率：99.5%, 超供程度：75.0%, 超供平均值：5.0, 方差：109.9
0  1.38e+07 4265.71 | 4265.71    0.0   2887     0 |    1.48   1.14   0.05  -1.15
0  1.38e+07 4265.71 | 4184.48    0.0   2887     0 |    1.46   1.12   0.02  -1.15
0  1.39e+07 4265.71 | 4186.04    0.0   2887     0 |    1.45   1.18  -0.01  -1.17
0  1.40e+07 4265.71 | 4188.88    0.0   2887     0 |    1.45   1.28   0.02  -1.15
0  1.41e+07 4265.71 | 4252.25    0.0   2887     0 |    1.47   1.09   0.04  -1.16
0  1.42e+07 4265.71 | 4169.55    0.0   2887     0 |    1.45   1.28   0.06  -1.16
0  1.42e+07 4265.71 | 4151.20    0.0   2887     0 |    1.44   1.27   0.01  -1.17
0  1.43e+07 4265.71 | 4141.04    0.0   2887     0 |    1.43   1.15   0.06  -1.17
0  1.44e+07 4265.71 | 4130.35    0.0   2887     0 |    1.42   1.25   0.07  -1.17
0  1.45e+07 4265.71 | 4098.55    0.0   2884     0 |    1.42   1.12   0.13  -1.16
0  1.46e+07 4265.71 | 4107.85    0.0   2884     0 |    1.42   1.20   0.20  -1.17
0  1.46e+07 4265.71 | 4119.60    0.0   2884     0 |    1.43   1.22   0.01  -1.18
0  1.47e+07 4265.71 | 4113.26    0.0   2884     0 |    1.43   1.20   0.03  -1.17
0  1.48e+07 4265.71 | 4107.85    0.0   2884     0 |    1.42   1.26  -0.01  -1.17
0  1.49e+07 4265.71 | 4106.34    0.0   2886     0 |    1.42   1.25   0.04  -1.17
0  1.50e+07 4265.71 | 4138.54    0.0   2887     0 |    1.43   1.24  -0.00  -1.16
0  1.50e+07 4265.71 | 4166.51    0.0   2887     0 |    1.46   1.11  -0.05  -1.17
0  1.51e+07 4265.71 | 4105.81    0.0   2887     0 |    1.44   1.15   0.02  -1.17
0  1.52e+07 4265.71 | 4169.87    0.0   2887     0 |    1.44   1.22   0.04  -1.17
0  1.53e+07 4265.71 | 4110.74    0.0   2887     0 |    1.42   1.13   0.05  -1.17
0  1.54e+07 4265.71 | 4115.34    0.0   2887     0 |    1.43   1.37   0.12  -1.17
0  1.54e+07 4265.71 | 4118.53    0.0   2887     0 |    1.43   1.18   0.11  -1.16
0  1.55e+07 4265.71 | 4115.32    0.0   2887     0 |    1.43   1.10   0.02  -1.17
0  1.56e+07 4265.71 | 4111.93    0.0   2887     0 |    1.42   1.25  -0.02  -1.17
0  1.57e+07 4265.71 | 4111.13    0.0   2887     0 |    1.42   1.10  -0.03  -1.16
0  1.58e+07 4265.71 | 4118.64    0.0   2887     0 |    1.43   1.19  -0.04  -1.15
0  1.58e+07 4265.71 | 4116.09    0.0   2887     0 |    1.42   1.15  -0.05  -1.16
0  1.59e+07 4265.71 | 4116.66    0.0   2887     0 |    1.43   1.48  -0.05  -1.16
0  1.60e+07 4265.71 | 4124.41    0.0   2887     0 |    1.43   1.26   0.19  -1.16
0  1.61e+07 4265.71 | 4127.24    0.0   2886     0 |    1.43   1.10   0.00  -1.16
0  1.62e+07 4265.71 | 4124.96    0.0   2886     0 |    1.43   1.04   0.05  -1.17
0  1.62e+07 4265.71 | 4122.00    0.0   2887     0 |    1.43   1.28   0.02  -1.16
0  1.63e+07 4265.71 | 4176.95    0.0   2887     0 |    1.45   1.17   0.08  -1.16
0  1.64e+07 4265.71 | 4156.88    0.0   2887     0 |    1.44   1.06   0.03  -1.17
0  1.65e+07 4265.71 | 4173.78    0.0   2886     0 |    1.45   1.04   0.04  -1.16
0  1.66e+07 4265.71 | 4157.09    0.0   2886     0 |    1.44   1.18   0.01  -1.17
0  1.66e+07 4265.71 | 4126.28    0.0   2885     0 |    1.43   1.20   0.04  -1.17
0  1.67e+07 4265.71 | 4116.86    0.0   2883     0 |    1.43   1.15  -0.02  -1.17
0  1.68e+07 4265.71 | 4119.77    0.0   2884     0 |    1.43   1.27  -0.01  -1.16
0  1.69e+07 4265.71 | 4119.25    0.0   2884     0 |    1.43   1.35   0.07  -1.15
0  1.70e+07 4265.71 | 4116.04    0.0   2883     0 |    1.43   1.22   0.02  -1.15
0  1.70e+07 4265.71 | 4116.19    0.0   2883     0 |    1.43   1.29   0.09  -1.15
0  1.71e+07 4265.71 | 4117.87    0.0   2883     0 |    1.43   1.21   0.03  -1.15
0  1.72e+07 4265.71 | 4119.69    0.0   2883     0 |    1.43   1.15   0.05  -1.15
0  1.73e+07 4265.71 | 4117.10    0.0   2884     0 |    1.43   1.30  -0.03  -1.15
0  1.74e+07 4265.71 | 4118.58    0.0   2883     0 |    1.43   1.14   0.06  -1.15
0  1.75e+07 4265.71 | 4120.13    0.0   2883     0 |    1.43   1.41  -0.04  -1.16
0  1.75e+07 4265.71 | 4119.46    0.0   2883     0 |    1.43   1.34   0.06  -1.15
0  1.76e+07 4265.71 | 4120.43    0.0   2883     0 |    1.43   1.09   0.00  -1.15
0  1.77e+07 4265.71 | 4119.77    0.0   2883     0 |    1.43   1.27   0.02  -1.16
